ENG,968
ENR,386
PHL,397
BIO,646
CEN,845
EPM,873
ENR,314
JOU,423
FEN,815
TTM,89
SOL,825
JOU,83
FRC,813
ACS,110
PHL,335
RMC,541
MAA,693
PSL,876
NGO,504
FTP,636
ITL,114
BIO,549
PHS,748
MAA,11
AMS,513
GEO,307
PDP,880
CSC,827
PRM,892
INL,593
PHS,239
FPA,721
MIS,171
ACS,603
ECN,251
PHS,601
PRM,616
MLU,335
MLT,157
CEN,46
MUE,458
ARB,538
REG,973
ARP,306
FRC,761
BIO,43
ADM,569
GDP,725
CEN,780
EEN,220
NTR,536
ACS,356
ADM,817
FAP,826
TRA,643
STA,722
REG,183
LAW,193
HCM,976
AST,935
TRA,396
FPA,499
ENR,101
COA,221
IDP,971
AMS,99
PHL,997
ECN,23
SOL,681
PAD,761
PHS,38
MUM,263
IAF,31
MLU,962
ARB,689
FBM,187
EPM,911
GIS,250
ADM,396
ADM,865
GEM,115
HTM,810
REG,343
ENS,340
PES,661
EDU,410
HCM,217
NUR,613
NGO,149
GEM,587
NGO,394
MUS,820
TRA,595
HIT,283
ITL,718
NUR,477
EDU,705
HIT,44
ECN,795
ECN,504
PES,39
MAT,724
CJS,130
CEN,488
HTM,428
PHS,768
FEN,480
NTR,419
HIT,508
PHS,458
OPR,186
ARP,547
POS,989
MLT,id
ENG,63
CJS,294
PHS,956
HTM,701
MAD,514
ENR,110
ACO,603
ARP,485
JOU,176
RMC,153
EDU,999
ENL,256
ARP,487
ITL,526
MUM,180
EPM,953
TTM,761
FAP,180
FAC,192
FBM,873
MLU,689
MLT,543
GDP,271
CEN,356
POS,289
ENG,706
ENG,480
HUT,286
HEA,125
TRA,875
PAD,288
PES,341
ADM,338
TRA,936
ENR,65
POS,507
ADM,360
ACO,279
ENL,646
CPL,393
NGO,923
CHM,646
RMC,895
PSL,221
IDP,271
FEN,995
CHM,297
HSM,537
TTM,225
ITL,794
POS,958
IAF,394
ITL,968
MLT,651
PRM,706
PHL,55
CJS,763
GEO,124
HCM,774
HIT,88
EEN,427
RMC,975
GEO,523
SOL,235
PES,34
MUM,453
INT,656
FAC,942
REG,164
MAD,696
MAA,505
CHM,594
MAD,992
ENL,814
MGT,591
PSL,282
ARB,841
ECN,198
PAD,842
MAA,566
HEA,946
ADM,236
ENR,442
HSM,936
GIS,710
ENL,965
NUR,640
HTM,624
PDP,667
ACO,883
GEO,913
MUE,112
MUE,419
HUT,553
ECN,459
EDU,991
CHM,61
ADM,103
FBM,429
AMS,690
MAA,326
TTM,787
FAP,556
EPM,352
HEA,583
HIT,218
MLU,2
TRA,955
MUA,461
EEN,601
BIO,638
FPA,327
MAD,534
EEN,321
CJS,602
SOL,348
MUS,824
IDP,99
INL,427
PHS,428
GEO,149
HIT,226
REG,228
GEO,857
PES,402
ENS,558
PDP,268
AST,520
REG,179
MLU,675
FRC,522
JOU,735
BAD,382
MRK,822
INL,210
PES,855
HUT,865
HEA,172
FAP,535
CPL,97
CPL,507
AMS,51
JOU,495
SOL,419
HUT,67
MIS,925
GDP,861
ITL,315
REG,368
FRC,124
EPM,568
TTM,539
MGT,275
INT,380
ARB,258
HCM,228
PHL,617
COA,27
BIO,376
SOL,856
SPA,834
SOL,811
PAD,246
INT,581
FEN,899
PES,296
STA,736
GIS,566
PAD,867
MRK,472
MAD,592
TTM,811
OPR,568
ARB,163
BIO,956
PAD,495
HEA,609
PSL,592
FTP,334
ARB,968
PHL,638
HEA,493
MUA,387
FEN,916
AMS,114
MAA,804
ENS,575
FTP,276
EEN,61
PHL,174
MUM,366
ITL,88
RMC,464
COA,204
CEN,659
HUT,422
MAD,146
PSL,995
PHL,961
BIO,567
ACS,222
FPA,461
NUR,437
JOU,656
INT,616
BIO,570
PDP,535
HSM,921
FPA,521
JOU,98
HSM,984
MEN,89
HEA,710
CPL,271
EPM,379
LAW,673
AST,259
CJS,57
ACS,813
GEO,510
HEA,190
ARP,395
ADM,509
LAW,694
HTM,959
BAF,382
PAD,873
NTR,562
FBM,56
INT,57
EPM,146
ADM,170
SOL,915
EEN,659
FPA,161
BIO,408
ACS,205
POS,550
TTM,681
FBM,335
HIT,424
COA,965
NUR,570
ENG,636
PHS,827
PRM,819
MRK,535
INT,499
RMC,477
FAP,934
EEN,617
CPL,652
POS,599
EDU,707
CJS,279
EPM,832
IAF,354
MEN,167
NUR,349
HTM,25
ADM,60
JOU,549
CEN,406
MUM,305
CHM,457
AST,90
MAD,150
BIO,175
CHM,329
BAF,804
LAW,848
MUA,859
CPL,840
TTM,57
PRM,743
MLU,623
ACO,590
HTM,73
GEM,279
MAT,102
PHL,446
HCM,293
PAD,694
REG,562
FAC,639
BAD,879
LAW,321
BIO,982
REG,416
TTM,701
INT,156
EDU,863
ARP,578
LTN,283
FAP,798
EDU,41
GDP,706
FRC,234
SPA,963
JOU,906
PDP,781
TRA,425
ECN,350
FPA,80
GEM,787
AST,874
LTN,114
BIO,208
FRC,717
FTP,960
FBM,820
HSM,146
PES,649
LAW,395
ECN,733
PAD,678
ADM,387
LTN,408
AST,844
JOU,142
COA,385
LIR,77
FBM,841
EEN,548
GEM,9
ENR,379
GEO,736
MEN,881
PDP,910
PHS,919
GEO,289
ARB,511
MLU,775
MAA,571
HIT,717
NGO,37
ACO,629
MAD,666
POS,725
ACS,81
LIR,531
ECN,707
STA,580
PRM,704
ACO,849
LTN,54
SPA,871
SOL,539
MGT,734
LTN,296
PHL,424
HSM,452
PHS,767
LTN,315
RMC,547
